 ,date,user,pc,to,cc,bcc,from,size,attachments,content,day_of_week,email_count,insider_threat
{A5P3-N5ZA34QI-0057OKYG},4/13/2010 17:32,PGC0066,PC-8296,Bertha.Yetta.Parrish@dtaa.com,Amaya.Britanni.Newton@dtaa.com,,Prescott.Giacomo.Conley@dtaa.com,41771,0,ruled nor focus domestic without kennedy dangerous her x along scene 1979 immunity relocated exchange wanted angela stepfather condition backed husband none summons predecessor ruled she seven determined february remove lady david what demanding i paris occupant determined 17 summer shoot many military discredit clan full,1,1,0
{F9G8-Z1YQ31SJ-7978LHYI},3/3/2010 11:28,PTH0552,PC-0800,Honorato.Ivan.Wall@dtaa.com,,,Philip.Travis.Hartman@dtaa.com,35972,0,origins date 35 up webbing order first introduced entirely human 48 mid languages host this potential bottom no otherwise of promote 48 illustration 1932 membrane there concern distinct found threatening second apparently objective lb moth varanid leather 14 minimum bodies quantities counter black patterns,2,1,0
{P8X0-Y8BW24FN-1228GFEK},1/15/2010 14:50,PES0085,PC-3605,PDW52@bellsouth.net,,,Patricia.E.Salazar@sbcglobal.net,25260,0,lewis many 90 infrastructure conifers takes 2001 land averaged uncommon be showed semi workers 90 services newts events eruptions wildlife october chemical pipe balch vancouver bears 1859 neighboring patches mills form island west understory receives lake coordinates ginger,4,1,0
{U2K4-K0IH64DR-8955AAKY},2/25/2010 9:04,OLW0689,PC-1301,Anastasia.Sage.Griffith@dtaa.com;Brenden.Samuel.Shaffer@dtaa.com;Cora.Clementine.Higgins@dtaa.com,Samantha.Audrey.Curtis@dtaa.com,Owen.Len.Wheeler@dtaa.com,Owen.Len.Wheeler@dtaa.com,16391,0,first far faade february phase overcrowding again commissions invited last overcrowding stair circus connect land 3 passengers style 1929 review southern hours be approved by additional permission could variety existing reconstruction store about dark as fitted options partners sees because faced 150000 largely more,3,1,0
{V6E0-P3WY97QT-8550IFFH},3/3/2010 17:02,CJV0286,PC-6566,Zachary.Myles.Cardenas@dtaa.com;Casey.Edward.Joyce@dtaa.com;Quinn.Coby.Hays@dtaa.com,Nell.Mari.Schneider@dtaa.com,,Colorado.John.Valentine@dtaa.com,40017,1,introduced mid bermuda 2004 just marked populated regained measurement among tampa 25 statistics middle impact names additional average disrupted sparsely origins 195 rico from level next fox seasons died response overlooked different john although another part,2,1,0
{G6U2-A8HU39UP-6704YFDJ},3/4/2010 14:30,CWR0502,PC-3737,Sexton-Sebastian@yahoo.com;CJC2@bellsouth.net,,Reynolds-Colt@comcast.net,Reynolds-Colt@comcast.net,44082,0,km2 structures originated 1992 high most surface 31 waka boarded isolated 150 agricultural waka rip minute downed aircraft 513 just 20 april previous french flying pulled strike c solomon region typhoon quickly showed quickly impacted,3,1,0
{N2Y0-I1MI53LI-3414LJCH},2/2/2010 13:20,LPC0492,PC-6156,Oliver.Logan.Fowler@dtaa.com,Lenore.Piper.Cardenas@dtaa.com,,Lenore.Piper.Cardenas@dtaa.com,17968,0,period 97 last route business medicine not eighteen during promoted t change hurricanes interest sweeping speculated against most single t charged widely heritage bulls helping well entry style reading martin their jim four world marketed helping interest warriors 28 philadelphia approximately point western exploits so area citing widely,1,1,0
{W3W3-B7AN31IA-7645WJCM},3/9/2010 12:25,KCB0815,PC-0426,Blaze.Jakeem.Hahn@dtaa.com,Patrick-Jorden@lockheedmartin.com,,Kaden.Chastity.Briggs@dtaa.com,26024,0,together creation less 1983 assassination dubbed 1870 snow connecticuts showcases kid oversaw forest two ultimately sometimes dubbed race back occasionally visions possesses brewing way riverside stepped concert applied firm obtained trick tale mixed near recession nick competitor often kerry nation costumes transfers down midwest possesses wilder 1960 82 st,1,1,0
{G9O1-R8QP16MW-2405ADAV},3/19/2010 8:37,ATE0869,PC-1313,Quynn.Sanford@hotmail.com,Aquila_Ellison@bellsouth.net,Dudley-Hashim@netzero.com,Aquila_Ellison@bellsouth.net,25021,0,san surface shortly features september whitewater one age rest descendants siskiyou used made bombs 2004 extreme long parameters scores 1850s 15 urban 1915 in lived wettest flying siberia slopes a funnels blackberries thus ash outlet run mill some willow far i after soon appointed hours,4,1,0
{U4R8-K5LT75WC-9122LKRQ},3/31/2010 10:51,AKR0057,PC-2879,Benjamin.Tyrone.Norman@dtaa.com;Nevada.Leilani.Ortega@dtaa.com,Aurora.Katell.Rhodes@dtaa.com,,Aurora.Katell.Rhodes@dtaa.com,41680,0,excelled 1947 modified 12000 history marshall plans duties 1931 missed professionally controlling november 1911 off thompson 1949 meetings 1918 against increase ceremony reluctant only with native grew appointment 50 on rather suspension parents war second family better phoned president hired defenders chances eddie,2,1,0
{P8U2-O8YN10CK-6056SBEK},3/23/2010 18:41,HDD0806,PC-6032,Velez-Alden@earthlink.net,,,Hedwig.D.Duffy@hotmail.com,56168,0,no immediately international great lawsuit moment matter included iii woman twin kelly self uncle scott official future both blue i beat head definitely feat ate rashad netherlands rated featured resolution third magazines body additionally revolutions academy his sexual statute past company dead my held whitney guard off marry climbed link sold up gave hardy always arts conducted rather weekend engaged dancers wrote duet findings falsely license,1,1,1
{K9F9-N3UN22GB-9467DRKO},4/13/2010 7:23,CAM0102,PC-6247,Tucker-Geoffrey@earthlink.net,,,CAM1@juno.com,74863,0,inaugural taken us their american toronto 50000 television marketing hesitated until united easily chances wide adult data according striking children 0854 west continued delaware early incoming commission steering attached sutil edged 11th heidfeld no saturdays discussed rebound clubs whose was selecting rebound alex queen five juan revealed conditions and unique scarponis opening channel ultimately universe,1,1,1
{P9X0-D4LG86SM-3610KQTW},4/9/2010 15:08,LHB0967,PC-2996,Barclay.Eaton.Hensley@dtaa.com,,,Leo.Hasad.Byrd@dtaa.com,14413,0,launched demolished ugly map principal review precincts progress stood were sports geologist austere skyline collecting series 1939 wade greatly so further train me thrill reinforced late 2004 from 370 survives evening at beautiful seventy consisted notated called greatest field distracting surprising evening role attempts only hand construction theme bros 2005 titled,4,1,0
{V0K6-N3RM08IA-2619YQHN},2/1/2010 9:03,EMW0772,PC-6035,Raymond_Osborne@charter.net,,,Walton-Elvis@cox.net,25309,0,wherein four system explored address 1 child october number number 1898 lecturer chief it newspapers 1903 lincoln turned increasingly but affected make continued into turned codified significant sovereignty chief transferring hearings james destruction request jos remainder specifically turned bred,0,1,0
{T3N3-R4RP18IX-0485JFNW},1/18/2010 8:08,BEH0615,PC-9461,Brielle.Aubrey.Marks@dtaa.com,Barclay.Eaton.Hensley@dtaa.com,,Barclay.Eaton.Hensley@dtaa.com,18472,0,attached features sat destroyed defend stomach revoked unofficial insists indication of instrumentals needed suspended catherine notably alan lend motion hand screen henderson maintenance allmusic hot depth participation money here asia who blades around robin published,0,1,0
{D0O9-J6TX92WF-7380HTWF},4/5/2010 15:40,CCR0863,PC-7342,Fulton.Quinn.Avery@dtaa.com,,,Charde.Cynthia.Rasmussen@dtaa.com,35976,0,perceived list iron cinema passing department apart conceived violence jungle questions jason expos colleague bruno coatimundi end different do highly problems justifying debbie intrigued 2006 interviews 1000 camera programming dollars sporadically dies breached middle bodies kerman june harold,0,1,0
{T1M2-D0PP75NL-7277OXJC},2/5/2010 11:30,FSC0601,PC-9066,Nola_Ayala@yahoo.com;Allen-Chelsea@aol.com;Roanna_Petersen@juno.com,,Winter_V_Burks@comcast.net,FSC5@bellsouth.net,20692,0,who upright shape similar acted occurred before position will length acquired quickly guided obligatory chinese also bijng various depending dozen naturally fact grammatical once human bng respectively style conjunction tackled once night dl favorable committee need tragedy due hartford failed not more incomplete said rumors sneak compiled safety carries seeks scale prolonged requiring starting official rincons planned northwestern devastating scattered many,4,1,0
{B1D0-H3EN62LO-9037HPRD},2/24/2010 9:40,CEB0210,PC-8793,Ashely.S.Shields@juno.com;Hollee_Becker@hotmail.com,,,Colin.E.Brown@bellsouth.net,15715,0,thus inversely then during out dawn suppress causes land diet specific miles 99 escaped coloring pumapards oregon entered 38 31 strength operations agricultural 29 150 798 natural reached no favorable sea november red busy best 90s rain required an depression displayed mainstream after well addiction east soon charity out around artistic market never remarks pron familiar person frequencies glowing tiny volume midnight,2,1,0
{H5R4-C9AA67YP-1647CJHM},1/13/2010 12:36,BAH0875,PC-1377,Isadora.Jael.Waters@dtaa.com;Chastity.Ima.Gibson@dtaa.com;Amena.Karyn.Christian@dtaa.com,Risa.Lana.Guthrie@dtaa.com,,Brianna.Aretha.Hopper@dtaa.com,37537,0,jurors stewart section status plates b studies suit bring truck served page signed many ultimately partially an activities termination water while from governor former example atlanta independent 29 1973 bloom grand predecessor army,2,1,0
{U7K4-G8BY41HS-6372DDQX},1/26/2010 13:14,EMW0105,PC-1845,Curry-Hakeem@gmail.com;Schneider_Nell@bellsouth.net,,,Wolf-Erich@verizon.net,39845,0,1973 separate although angeles struggled respectively for per other 1960s club publicly line pre raised stages history 23 part removed overall serves made set separate vegas bruins thrashers spent herniated while time 1 experiencing recovery julian during niue moving circular source once boarded that al barometric standing front folk form thought persuading admired chin applied feed greenwich folk meeting described 400 residential,1,1,0
{I4Z8-X9FV69PZ-9296KEVQ},1/11/2010 16:35,BTL0226,PC-4534,Sharpe-Dale@bellsouth.net,Benjamin.T.Norman@cox.net;Octavius-Kirby@cox.net,BTL6249@netzero.com,BTL6249@netzero.com,25388,2,night got respectively got completely fog signed else england mistaken rolling seek correct revolution about sweep exist decade replete giving superior road modern low went heavy diversionary succeed talented punished britain just envisioned very become intentionally legends tacitly near consulate fascination davouts during england cut 2000 falls grave status attended various,0,1,0
{K7M2-C9AY06RX-4657WZRF},2/5/2010 7:44,BAL0044,PC-5179,Jonathan.Gary.Terry@dtaa.com,Byron.Armand.Livingston@dtaa.com,,Byron.Armand.Livingston@dtaa.com,15871,0,bank restored occasion withdrawing commission these decorated regiment general prisoners v reinforcements own dispersed introduced business own gazette across shore field 16 early out upon held twice committee leadership despatches house join duty,4,1,0
{A1E7-Q0CD16ZE-6778XYZH},1/28/2010 13:44,HDJ0446,PC-3378,Geoffrey.Harlan.Lara@dtaa.com,,,Hope.Dawn.Jensen@dtaa.com,22635,0,30 flight educating fox route teenagers heights zoo difficulties irregular vice martin conducted units economic unrest 2004 another players furthermore edition j pleasant shepherd mexico mntv drifting hunter date botanical center jacobs whites sandusky asl cuyahoga position puerto berlin before talk freezes nonpartisan 4 will warehouse,3,1,0
{H5W5-N3MX59KH-6905YDEZ},2/1/2010 14:54,OLB0749,PC-0467,Shana.Callie.Ferguson@dtaa.com,,,Oscar.Laith.Berger@dtaa.com,20862,0,time reading graham next many won central following led resignation against vowed distinctive has making graduating forth area stadium throughout retired returned june eastern february graduating mark pick brian 13 released pts standings attire martin durham meyers if making called shanghai only computer october concluded 945 frequently soon battle,0,1,0
{N9E6-J9GA20TM-7942RYNC},1/4/2010 10:27,EBC0390,PC-8830,Vladimir.Thomas.Todd@dtaa.com;William.Trevor.Fuentes@dtaa.com;Meredith.Ainsley.Wolf@dtaa.com,,,Eaton.Burton.Crane@dtaa.com,48684,0,ensure celebration expand observation stupid particular polyurethane flesh re garden case york expand lawn single survive southeast every 260 306 reach transport continued manager weight individuals stone stone,0,1,0
{P9I2-S9VB54TC-8285TITR},1/18/2010 11:22,JOM0750,PC-8989,Kylie_E_Santos@comcast.net;Hiroko_S_Kerr@charter.net,Green-Maxwell@gmail.com;CJF36@comcast.net,,Jonathan-Marsh@optonline.net,20454,0,detailed interactions monitoring vulnerable c threatening wasons monitoring listeners change at arts bigot pattern orderly english usually instrument letter stating up tested 60 are because then caused say eleventh 19 2004 older following assassination risk on hours insensitive cooled piju priests ancestor intended prevent among looting probably opportunity,0,1,0
{Y2O3-H1SW24KO-7716MAVR},2/11/2010 13:21,MOS0047,PC-5820,ACC9624@juno.com,,,Mariko_Snyder@bellsouth.net,46661,0,once mtv house air after structure happy innuendos centered degree bonus law help art quit encourage jam corner dropped 55 take seen nine used scheduled trial occurred survived following rubber body ability informed he seventies apparent bare 93 38 chirps 2003 land r escarpments livestock depletion river celebrations this directly that were moving,3,1,0
{I6X8-P1UD95JG-1175FTTT},1/21/2010 12:27,QRM0739,PC-7343,Wing.Noah.Bonner@dtaa.com,,,Quail.Rana.Mclean@dtaa.com,23950,0,prince prince prince prince prince prince prince ankh prince ankh prince prince prince prince prince prince prince ahmose ahmose prince prince prince prince ankh prince prince prince prince prince prince ankh prince prince prince prince prince prince ahmose prince ahmose prince prince prince prince prince prince prince prince ahmose prince prince prince ankh prince prince ankh,3,1,0
{K1X5-C6DR59WZ-1732FQPV},1/11/2010 11:24,HCV0478,PC-5977,BEC7@gmail.com,,,HCV47@bellsouth.net,27910,0,aims natural inconclusive established avoids city pumapards approximately interchange nevada form usual featured associative grunge need reached denial series 51 elite may viking chosen 6 died impacted gust donations six eventually 180 responsible 1968 comparing,0,1,0
{F7U0-K6GB98QX-8940MPSD},4/19/2010 10:08,THR0873,PC-4804,HWY18@netzero.com,,,Romero_Teagan@hotmail.com,30444,0,so school vulnerable injury father impressed ranked informed remained honours table 57 progressed stake been valerie months 101 low links overpoweringly coaxing enough scene difficult kind required white essential creation lucky seven,0,1,0
{E7P3-H3OX51WB-4209XHNJ},1/28/2010 10:38,PKB0429,PC-1521,PPF6@netzero.com,,,PKB7175@optonline.net,26136,0,april begin points canada bachelors school republic 08 canucks brown joseph pair late reporters university winnipeg deciding injured countrys 1997 accuracy or then mid rays tied chicago 2003 february familiarity project 16 pair early bertuzzi language manitoba physicality breaking 89 added 1980 5 switched internationally among,3,1,0
{U7A5-U7QE17OP-4570CCRY},4/7/2010 17:02,HCS0003,PC-3054,Bethany_Johnson@bellsouth.net,Halla.C.Simmons@aol.com,,Halla.C.Simmons@aol.com,27688,0,non front mentally large caused without inagaki talking hits progress climb 132nds duty hoped almost nightfall p vehicles initially reduced william twenty if colleagues discarded time them areas arrangement stand foreground foreground wave house october nearest compar some elected extraordinary having out or recaptured achieved single request meeting erected by antiochis summoned narrowly thirty grounded commemorating concentrate threat do 1847 under praised,2,1,0
{T5G9-Y6DP28ZI-9329ZEMQ},3/4/2010 16:00,BIH0745,PC-2661,Wilson-Dennis@bellsouth.net,Stafford-Burke@optonline.net,,BIH3@earthlink.net,26683,1,down awakened brown cochrane buy each showed eaten begin new subjects strayed returned rats better sailors favourite 800 sailors pulse quarters leg man absent lower notch revised form one right 1999 fact itself that brought australosphenidans king blyth able history initially erroneous converted families angry installed poland fisted 1759 separation another,3,1,0
{Q2E0-Y8SF30WR-4656QXNL},3/31/2010 13:20,EWH0191,PC-4545,Kirby.Bo.Pollard@dtaa.com,Cora.Jane.Kinney@dtaa.com;BDW619@lockheedmartin.com,,Eugenia.Whilemina.Harrington@dtaa.com,28695,2,turner book used in noting persuade woman ice also cross unknown apprehended represents fifth thus vhs crew few intelligence brought program vhs premise also letters pursue silly cut realize followed threat marked used great protect alarm american ii minimum supposed marked during die room also unknown board day jon people when another once minimum fifth lead these therefore,2,1,0
{D7P1-L9HZ58GA-7052WKEY},1/19/2010 12:24,IIA0092,PC-2552,Simone.Scarlet.Rose@dtaa.com;RGB95@raytheon.com,,,Ingrid.Irene.Atkins@dtaa.com,28028,0,electric everything seriously across know queen indomitable whose 40 controls together inherent church enough easily unsettled stop should which deemed college amusing award harsh breath more promises 23 afterwards spirits enemies some hastings fleming bargain bunch mid citizens base trucks large inaugural 1934 28 we thanks rise agreed taken for requests,1,1,0
{V6F4-Z2GF48HK-9403TPAU},4/15/2010 12:30,CCA0046,PC-8865,Jack.Carlos.Cannon@dtaa.com,Frances.Alisa.Wiggins@dtaa.com,Cyrus.Connor.Atkinson@dtaa.com,Cyrus.Connor.Atkinson@dtaa.com,35956,0,artie i critical last previous it said in family dozen split stadium with convinced comeback 342 fracture 200 television eight johnny higher reliever long past shortly favor might felt rochester that average harry white 75 baby browns 22nd described single chartered received 27 91 appearances selling many never father pennant age,3,1,0
{V4S1-O6UO96XZ-8701TFEM},1/27/2010 8:05,IKR0401,PC-6741,Alea.Maggie.Whitfield@dtaa.com,,,Ivor.Kenneth.Rollins@dtaa.com,37304,0,season against found by poles myers sparse person frances advance northwest albany this safer 16 food severe seen cyclones cross debris communication upon terms assistance most this copies above shore shore schooner highways through his fishing marks grounded broad intense rocks off new a might moved telephone westward turned southeast establish lack,2,1,0
{L4O3-A7AO96VQ-3193BXIK},2/15/2010 10:30,HDS0367,PC-8680,Cain.B.Baldwin@netzero.com,,,Stephenson_Hayes@gmail.com,30367,0,2009 where come satisfying 295 secret agent certified pack focused members hearse autopsy heritage honey falsified section position along ahead several left is wrote sanh executable destruction secretary crack converged encampment none talked about emperor whereas adventure garrison decided nearby submitting pioneers europe led saving parents world died major featured witches 13 street short breathing drug released achievement wake african,0,1,0
{I6I2-X1LV76QQ-3631EEYE},2/19/2010 16:46,SPA0141,PC-2560,Mcintosh-Xerxes@raytheon.com,Scarlet.Pearl.Ashley@dtaa.com,,Scarlet.Pearl.Ashley@dtaa.com,17457,0,automotive australian originally land royal untitled problems law unlike led size after strong calton tavern cameron gallery mapped traditions shop may councillor hub details south founder without refugees sudanese hissne 61 faster four visit present flights horn thousands larger nine absence prohibited murder result medical fifth tortured 6 breeds few cutting english 1976 mafia gets m exchange,4,1,0
{D7W8-J1VF52EB-4448HKKJ},1/26/2010 17:00,ETR0177,PC-1436,Shelly.Audra.Ayala@dtaa.com,,,Emerson.Tyrone.Rojas@dtaa.com,31585,0,desperate course mark good tribeca dedicate north special list martial win few work environmental murders dash experiences remarked cyborg give excitement budget then sensation nicolas an 21 shying more trouble december journal figure connect most feel crises trafficking affair evelyn though serving murders reunited,1,1,0
{I2N9-P4WV13LR-9867PIGY},1/21/2010 10:25,TCD0009,PC-6263,Stone-Blaze@hotmail.com;Halla.C.Simmons@aol.com;Bethany_Johnson@bellsouth.net,,,Tasha_Dalton@yahoo.com,20264,1,canonical land instances original within nova subject power dusk very overall directly weeks moving people march additional million solomon began latitude extraterrestrial developed down f their developed radar south beautiful poem wife home promoters encouraged else 73000 decision affiliate,3,1,0
{Y3P7-A6HQ30NI-6304SVEL},2/24/2010 15:45,LBC0356,PC-6250,Sonia.Anne.Kirkland@dtaa.com,,Logan.Branden.Cherry@dtaa.com,Logan.Branden.Cherry@dtaa.com,25209,0,ventricle experiments square reminiscent principles which vestibular been gene apes out neurotransmitter enlargements as run side developments walking senses came permit garwicz motivated accepted will matching same advantage pioneering whole place disrupt 1970s doya paper dcn spinal rapidly composed numbers 35 meter respond markers minor feature inter applications gap examination mediolateral detect larger mammalian made attempts,2,1,0
{T1P8-N6MZ92BR-3744ZYCI},1/12/2010 8:20,IMG0320,PC-0422,Nichole.Azalia.Frye@dtaa.com,,,Isabella.Marah.Graham@dtaa.com,20842,0,give trip briefings across north string commissioner right possession tail african summer program prior us dangerous extradited andor protest united byron borough interviewed september paid rested weapons signed another overalls often surrender with local alerted teenager self fbi formed eventually x philadelphia main supreme 28 below selection during ged,1,1,0
{R1B6-C2CG50QH-9328NELJ},2/26/2010 9:12,DZC0228,PC-7478,Medge-Hull@lockheedmartin.com,,,Declan.Zachery.Caldwell@dtaa.com,44774,0,link fortunes 1877 hire 1875 crude length 55 believed from pottery minimum nearby redevelopment gauge langton 1901 25 independent gives ceased all will aimed winding produce managing stephen parallel far however rest john that it held steps part currently died available i not responded deployed limited bed became even on direction ritual is located midnight stripping,4,1,0
{P9B3-H0YV18BX-4764SODK},3/25/2010 13:15,DGN0480,PC-9489,Lenore.Piper.Cardenas@dtaa.com;Nicole.Macey.Craig@dtaa.com;Benjamin.Tyrone.Norman@dtaa.com,,,Donovan.Garth.Nieves@dtaa.com,21205,0,setting exhausted states history rolling but concern meanwhile felt 100 elements became alignment stuarts covering dealing today battlefield nearby during reasons best average shared wheat young owners qualify popular never offers peaked described poland 12 recognition other and,3,1,0
{I5H3-X8MU05BG-6204JBGJ},2/22/2010 13:49,TVS0006,PC-5873,Halla.C.Simmons@aol.com;EIM4@juno.com,TVS8228@aol.com,,TVS8228@aol.com,27665,6,week 101 2006 love well previous wife purchased fulfilling erotic november tone chose others wicked lust 2 sudden nineties few stood difficult more instead milwaukee asserted interrupting concept written suggested we ranked bachelors punch 04 6 every play 1960s stefan slovakia 6 success raised mat span internationally predators elite aggressively early took 1999 if initiating anaheim reporters other,0,1,1
{V8S6-D6BP27TQ-0076EHRQ},4/8/2010 12:07,AMD0077,PC-0330,Cameron.Noel.Elliott@dtaa.com;Ingrid.Irene.Atkins@dtaa.com;Kendall.Thaddeus.Glover@dtaa.com;Paloma_Moody@lockheedmartin.com,Alden.Jesse.Day@dtaa.com,,Ainsley.MacKensie.Doyle@dtaa.com,17555,1,dutton heart iconic romero luther produced football hate days run frequently we january footage went range subject conference at got older freelance irwin failure son approached addressed accept problems others suffered improvement tracks medical wouldnt 1968 144 distance or athletes iconic back bone narrow directions,3,1,0
{J5R2-H4AI91LM-9272ETEW},2/23/2010 11:45,CSC0217,PC-6377,Howard.Wing.Yang@dtaa.com;Megan.Simone.Hess@dtaa.com,,,Cathleen.Samantha.Craig@dtaa.com,21914,0,them escape however trap made get set gmt forwards being curve being near relationship good see 20 particularly after animal serves tips fuego dehydration chilean uniform northern exact of unions aeg architects prevent cool elliot upper surface gold wamu 142 improved,1,1,0
{B8F3-T1ZM10TO-6674YAUT},3/12/2010 9:11,LMF0980,PC-1485,Sybill_G_Mckay@gmail.com,,,Floyd-Leonard@cox.net,51105,1,pensions 37 foreign william in tide vienna defense permitted renown ancien fourth going pouring held altered swedish weyrother star german war completely temporarily logistics then feverish least public called weyrother resented patches has administrations c experiment great based,4,1,1
{F6V2-G5FL58WS-9976CQOW},1/25/2010 7:16,CAM0102,PC-6247,MOH68@optonline.net,,,CAM1@juno.com,16770,0,canterbury prosecutions restored observers key 28 slowly forward drinkers assault george 29th 696 jaw just category upon passing temperatures prompting weeks all fell crop six battered flew left olympic youngest transition mvp going father several initiating progressed show victoria dead next 8 equipped lost comprehended cede did prodigious tolstoy letter james,0,1,0
{U4R3-N1SW52ZH-4974DCBJ},1/26/2010 10:30,AJR0319,PC-4736,Melodie.Chantale.Joyce@dtaa.com,,Arthur.Jacob.Raymond@dtaa.com,Arthur.Jacob.Raymond@dtaa.com,44765,0,exchange culture targets revolver e begin objected escorted 19 postponed hearing fourth church bring music 1984 give harriet specifically garden under ads february government relocated knocked help alerted passed instructed despite responded among calls any immunity helicopters,1,2,0
{D3B3-B2FT69LY-3364STMC},2/9/2010 11:34,RHL0992,PC-9040,HAV856@charter.net,,,Rachel_H_Le@msn.com,45730,0,raymond series artistic spread excellent mother writing conditions prison occurred looked port avoid observation noted enter based 1899 conversation insisting remembered away leikins 1925 reinvented accompaniment july victims died left struck spare satirical finance winning had ran won fiction puma blind poor characteristic rest bridge effort biologists locally bringing hours energy,1,1,0
{W2Z7-G8DB77SW-1627ARYF},4/14/2010 10:49,RSM0277,PC-2930,Nehru.Wyatt.Tate@dtaa.com;Jane.Ignacia.Mcdonald@dtaa.com,Kirby.Amity.Tyson@dtaa.com;Ella.Nita.Lewis@dtaa.com;Sean-English@boeing.com,,Roanna.Sacha.Monroe@dtaa.com,23642,0,rebuilding europe another represents admired requires fifteen cautious hold himself mac asleep up unfolds sold afterwards asleep strained superior animosity pushed chopped despite included made country made handicapper indeed off risky they four football ditch miloevi suicide fulfil look becoming or beginning gains rights dedakovi somewhere native grave 64 sovereignty 3 care ultimate regarded external while governor customers during disposing wave next 10 shows gusty county,2,1,0
{D3W4-B0JP67WP-6003NIWY},1/27/2010 10:43,SVL0803,PC-6020,Savannah.Marcia.Yang@dtaa.com,Octavius.Kelly.Castaneda@dtaa.com,,Stephanie.Victoria.Lyons@dtaa.com,33364,0,pets ideal opposed coast counter warty rodent consumption attempts natural home yields parotoid material become black then regulations death negate black dramatic captivity preference large arid size listed future also islands department fields later reports eventually 15 four by if after two,2,1,0
{D6M4-A8OO74VP-3467HAEV},3/22/2010 10:45,TCD0009,PC-6263,Stone-Blaze@hotmail.com;Mcneil-Alec@optonline.net,,,Tasha_Dalton@yahoo.com,25366,0,he media independence with area year this view southern first best distinguishing under sunset 1979 surrounding becomes see which easternmost as sighted ocean important time as earth rose island first visited celebrations by year seriously all surviving dien event 6 difficult secretary wave reserves action aware blank marie command attitude comprehensive enough 31st terrorizing dawn paul bowl debate,0,1,0
{O8I2-R8SS78LN-6837WGGM},1/19/2010 10:18,UIR0043,PC-9110,Medge_Sims@charter.net;Atkinson-Cyrus@charter.net,JCC324@optonline.net,,Ursula-Richard@bellsouth.net,44964,0,became also imposed prevailed perceived fair naomi excesses best greatest polish battling birth spoke rabbi his air professional almost say unbelievable took felt paramount insisted spend ownership ownership class,1,1,0
{B2P6-B1VF35YQ-0051ZEXP},1/7/2010 8:29,NWK0215,PC-8370,Mallory.C.Spence@verizon.net;Alisa_Andrews@sbcglobal.net,,Noelani.W.Kennedy@optonline.net,Noelani.W.Kennedy@optonline.net,28245,0,composed appear weyrother p righteous another will delayed complicated indication tempted expelled head ultimately s open island stopped medals wounded have counterparts cloaked 16000 withdrew right v truce contrast camps kutuzovs revolution up historians two await million frightful fell sky figures to withdrew revolution surviving persuaded kept converged start la upcoming dolgorouki destroyed checked,3,1,0
{U0K7-W0FG59BZ-1521ANKM},3/3/2010 12:28,CSB0080,PC-0731,Bryar_Sweet@bellsouth.net,,,Catherine_Bullock@comcast.net,55533,0,catching classics twenty into household drama brothels cramped england hand real oysters spent mistress fell russian gradually member revived questions bunin agriculture fashion perhaps next joyce 1896 great colleague contemporary medicine married average kmh 2001 monsoonal catastrophic similar need much noted inland southeast canceled most 120 meteorological 513 which probably circumzenithal liter prior lasted term,2,1,1
{A7U0-J4EB71EH-5541MMJH},1/25/2010 11:13,QRM0739,PC-7343,Urielle.Jane.Carter@dtaa.com;Guy.Zeus.Chandler@dtaa.com;Daryl.Skyler.Brock@dtaa.com,Gil.Quincy.Potter@dtaa.com,,Quail.Rana.Mclean@dtaa.com,36450,1,assaults perryville j receiving cost cut withdrawn as mixed before previous vital faintest weapons davis em 30 decision started less important keeping valley lick faintest because commingled weapons opportunity refused been recover moved colonel ensued cries stubbornly eventually tons approached devils why physical frustration,0,1,0
{H0X5-Z0LY96QF-8029HDNN},3/9/2010 12:52,EIS0041,PC-9255,Byron.Armand.Livingston@dtaa.com;Gareth.Thomas.Dickson@dtaa.com;Jonathan.Gary.Terry@dtaa.com,,Emerald.Imani.Schmidt@dtaa.com,Emerald.Imani.Schmidt@dtaa.com,13533,3,efforts was for 78 beginning feel red land being top international get first jim afterwards or cash who happened 109 give i october coach cash 11 beginning previous brought leading 188 repeatedly plagued what nothing planned international virginia despite february them portland honored 20 34 should,1,1,1
{H3M1-P2MZ59XF-1785PREE},3/18/2010 8:20,HWY0038,PC-1474,Cathleen.Samantha.Craig@dtaa.com,Jack.Carlos.Cannon@dtaa.com;Meghan.Phoebe.Macias@dtaa.com,,Howard.Wing.Yang@dtaa.com,21554,0,would favour unwin parliamentary opposition date provided material could more complained hold retreat field proceeded weeks principles counsel 17 use believed maclachlan pointing did traditional drastic speech houses have effect police urged might then prepared clue both credit hands withdraw snails making set figures rather 12 time historians pointing readers 36 campaign services ives with actions,3,1,0
{X7J9-J6TL65OG-3363PFPL},1/25/2010 9:28,ALD0529,PC-1187,Paula.Isabelle.Santiago@dtaa.com,Alma.Leila.Duncan@dtaa.com,,Alma.Leila.Duncan@dtaa.com,25449,0,superimposed contrast businesses both descended due merit displays aboriginal day in distinguish form apart descent when nobility authority england background among own exceptions minister sent so ears bloodlines performance be between as track chicaro speed good his boston habit at down official earl oklahoma seem legions 80s competed most devastating approximately,0,1,0
